College Name,City,State,Country
National Institute of Technology Rourkela ,Rourkela,Odisha,India
Visvesvaraya National Institute of Technology Nagpur ,Nagpur,Maharashtra,India
Netaji Subhas University of Technology,New Delhi,Delhi,India
Birla Institute of Technology,Ranchi,Jharkhand,India
International Institute of Information Technology,Hyderabad,Telangana,India
BMS College of Engineering,Bengaluru,Karnataka,India
Institute of Chemical Technology,Mumbai,Maharashtra,India
Banaras Hindu University,Varanasi,Uttar Pradesh,India
Thapar Institute of Engineering and Technology,Patiala,Punjab,India
Shanmugha Arts Science Technology Research and Academy,Thanjavur,Tamil Nadu,India
Indian Institute of Technology Hyderabad ,Hyderabad,Telangana,India
Nirma University,Ahmedabad,Gujarat,India
Indraprastha Institute of Information Technology,New Delhi,Delhi,India
Lovely Professional University,Phagwara,Punjab,India
International Institute of Information Technology Bangalore ,Bengaluru,Karnataka,India
Christ University,Bengaluru,Karnataka,India
Sardar Vallabhbhai National Institute of Technology Surat ,Surat,Gujarat,India
National Institute of Technology Durgapur ,Durgapur,West Bengal,India
PES University,Bengaluru,Karnataka,India
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,India
Indian Institute of Technology Banaras Hindu University Varanasi ,Varanasi,Uttar Pradesh,India
Maharashtra Institute of Technology,Pune,Maharashtra,India
National Institute of Technology Delhi ,New Delhi,Delhi,India
Veermata Jijabai Technological Institute,Mumbai,Maharashtra,India
Amrita School of Engineering,Coimbatore,Tamil Nadu,India
National Institute of Technology Kurukshetra ,Kurukshetra,Haryana,India
MIT College of Engineering,Pune,Maharashtra,India
College of Engineering,Chennai,Tamil Nadu,India
Malaviya National Institute of Technology Jaipur ,Jaipur,Rajasthan,India
Maulana Azad National Institute of Technology Bhopal ,Bhopal,Madhya Pradesh,India
Indian Institute of Information Technology Allahabad ,Allahabad,Uttar Pradesh,India
Indian Institute of Technology Guwahati ,Guwahati,Assam,India
Thiagarajar College of Engineering,Madurai,Tamil Nadu,India
BITS Pilani- Hyderabad Campus,Hyderabad,Telangana,India
JNTUH College of Engineering,Hyderabad,Telangana,India
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,India
Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat,India
Indian Institute of Technology Indian School of Mines Dhanbad ,Dhanbad,Jharkhand,India
Punjab Engineering College,Chandigarh,Chandigarh,India
Harcourt Butler Technical University,Kanpur,Uttar Pradesh,India
Indian Institute of Technology Indore ,Simrol,Madhya Pradesh,India
Andhra University College of Engineering,Visakhapatnam,Andhra Pradesh,India
Sri Sivasubramaniya Nadar College of Engineering,Kelambakkam,Tamil Nadu,India
VIT University,Kelambakkam,Tamil Nadu,India
Bangalore Institute of Technology,Bengaluru,Karnataka,India
Vishwakarma Institute of Technology,Pune,Maharashtra,India
Indian Institute of Technology Gandhinagar ,Gandhinagar,Gujarat,India
Savitribai Phule Pune University,Pune,Maharashtra,India
Indian Institute of Technology Ropar ,Rupnagar,Punjab,India
Jamia Hamdard,New Delhi,Delhi,India
Panjab University,Chandigarh,Chandigarh,India
Symbiosis International University,Pune,Maharashtra,India
Chandigarh University,Chandigarh,Punjab,India
National Institute of Technology Silchar ,Silchar,Assam,India
BMS Institute of Technology and Management,Bengaluru,Karnataka,India
Dayananda Sagar College of Engineering,Bengaluru,Karnataka,India
Jawaharlal Nehru University,New Delhi,Delhi,India
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior ,Gwalior,Madhya Pradesh,India
JC Bose University of Science and Technology,Faridabad,Haryana,India
National Institute of Technology Raipur ,Raipur,Chhattisgarh,India
Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,India
Institute of Engineering and Technology,Lucknow,Uttar Pradesh,India
Madras Institute of Technology,Chennai,Tamil Nadu,India
University of Hyderabad,Hyderabad,Telangana,India
Dr B R Ambedkar National Institute of Technology Jalandhar ,Jalandhar,Punjab,India
National Institute of Industrial Engineering,Mumbai,Maharashtra,India
Indian Institute of Technology Bhubaneswar ,Bhubaneshwar,Odisha,India
Indian Institute of Technology Patna ,Patna,Bihar,India
University of Calcutta,Kolkata,West Bengal,India
Sharda University,Greater Noida,Uttar Pradesh,India
National Institute of Technology Jamshedpur ,Jamshedpur,Jharkhand,India
Dr DY Patil University,Navi Mumbai,Maharashtra,India
Heritage Institute of Technology,Kolkata,West Bengal,India
Sinhgad College of Engineering,Pune,Maharashtra,India
University College of Engineering,Hyderabad,Telangana,India
National Institute of Technology Hamirpur ,Hamirpur,Himachal Pradesh,India
Government College of Engineering,Aurangabad,Maharashtra,India
Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,India
Maulana Abul Kalam Azad University of Technology,Kolkata,West Bengal,India
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,India
Acharya Institute of Technology,Bengaluru,Karnataka,India
National Institute of Technology Patna ,Patna,Bihar,India
Shiv Nadar University,Greater Noida,Uttar Pradesh,India
PES Institute of Technology,Bengaluru,Karnataka,India
VNR Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,India
University of Mumbai,Mumbai,Maharashtra,India
National Institute of Technology Manipur ,Imphal,Manipur,India
Jaypee Institute of Information Technology,Noida,Uttar Pradesh,India
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,India
Jawaharlal Nehru Technological University College of Engineering,Kakinada,Andhra Pradesh,India
Sri Venkateswara University College of Engineering,Tirupati,Andhra Pradesh,India
Army Institute of Technology,Pune,Maharashtra,India
National Institute of Technology Uttarakhand ,Srinagar,Uttarakhand,India
National Institute of Technology Agartala ,Agartala,Tripura,India
LD College of Engineering,Ahmedabad,Gujarat,India
KJ Somaiya College of Engineering,Mumbai,Maharashtra,India
Graphic Era University,Dehradun,Uttarakhand,India
Dr APJ Abdul Kalam Technical University,Lucknow,Uttar Pradesh,India
Institute of Engineering and Management,Kolkata,West Bengal,India
Indian Institute of Information Technology Design and Manufacturing Kancheepuram ,Chennai,Tamil Nadu,India
Dr Ambedkar Institute of Technology,Bengaluru,Karnataka,India
Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,India
Indian Institute of Technology Mandi ,Suran,Himachal Pradesh,India
GITAM University,Visakhapatnam,Andhra Pradesh,India
College of Engineering,Thiruvananthapuram,Kerala,India
MS Ramaiah University of Applied Sciences,Bengaluru,Karnataka,India
Indian Institute of Information Technology Design and Manufacturing Jabalpur ,Jabalpur,Madhya Pradesh,India
Koneru Lakshmaiah Education Foundation,Guntur,Andhra Pradesh,India
Galgotias University,Greater Noida,Uttar Pradesh,India
LNM Institute of Information Technology,Jaipur,Rajasthan,India
Maharaja Agrasen Institute of Technology,New Delhi,Delhi,India
National Institute of Technology Goa ,Ponda,Goa,India
Shri Govindram Seksaria Institute of Technology and Science,Indore,Madhya Pradesh,India
National Institute of Technology Andhra Pradesh ,Tadepalligudem,Andhra Pradesh,India
Kalinga Institute of Industrial Technology,Bhubaneshwar,Odisha,India
Vasavi College of Engineering,Hyderabad,Telangana,India
Kurukshetra University,Kurukshetra,Haryana,India
SRM Institute of Science and Technology,Ramapuram,Tamil Nadu,India
Galgotias College of Engineering and Technology,Greater Noida,Uttar Pradesh,India
BITS Pilani,Chicalim,Goa,India
Gokaraju Rangaraju Institute of Engineering and Technology,Hyderabad,Telangana,India
Guru Nanak Dev University,Amritsar,Punjab,India
Government College of Technology,Coimbatore,Tamil Nadu,India
Guru Nanak Dev Engineering College,Ludhiana,Punjab,India
Cochin University of Science and Technology,Kochi,Kerala,India
Haldia Institute of Technology,Haldia,West Bengal,India
National Institute of Technology Srinagar ,Srinagar,Jammu and Kashmir,India
University Visvesvaraya College of Engineering,Bengaluru,Karnataka,India
SCTR's Pune Institute of Computer Technology,Pune,Maharashtra,India
Indian Institute of Technology Jodhpur ,Jodhpur,Rajasthan,India
Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,India
Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,India
Sir M Visvesvaraya Institute of Technology,Bengaluru,Karnataka,India
Sardar Patel College of Engineering,Mumbai,Maharashtra,India
CVR College of Engineering,Hyderabad,Telangana,India
School of Engineering,Dehradun,Uttarakhand,India
Kalyani Government Engineering College,Kolkata,West Bengal,India
Dr Vishwanath Karad MIT World Peace University,Pune,Maharashtra,India
Sardar Patel Institute of Technology,Mumbai,Maharashtra,India
Annamalai University,Chidambaram,Tamil Nadu,India
Walchand College of Engineering,Sangli,Maharashtra,India
Amity School of Engineering,Noida,Uttar Pradesh,India
National Institute of Technology Puducherry Karaikal ,Thiruvettakudy,Puducherry,India
Ajay Kumar Garg Engineering College,Ghaziabad,Uttar Pradesh,India
Chhatrapati Shahu Ji Maharaj University,Kanpur,Uttar Pradesh,India
Siddaganga Institute of Technology,Tumakuru,Karnataka,India
Kumaraguru College of Technology,Coimbatore,Tamil Nadu,India
Dayananda Sagar University,Bengaluru,Karnataka,India
JSS Academy of Technical Education,Noida,Uttar Pradesh,India
Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,India
Kamla Nehru Institute of Technology,Sultanpur,Uttar Pradesh,India
Tezpur University,Tezpur,Assam,India
